0 0
0.0508475 0.0677966
0.101695 0.135593
0.152542 0.20339
0.20339 0.271186
0.254237 0.338983
0.305085 0.40678
0.355932 0.474576
0.40678 0.542373
0.457627 0.61017
0.508475 0.677966
0.559322 0.745763
0.610169 0.813559
0.661017 0.881356
0.711864 0.949153
0.762712 1.01695
0.813559 1.08475
0.864407 1.15254
0.915254 1.22034
0.966102 1.28814
1.01695 1.35593
1.0678 1.42373
1.11864 1.49153
1.16949 1.55932
1.22034 1.62712
1.27119 1.69492
1.32203 1.76271
1.37288 1.83051
1.42373 1.89831
1.47458 1.9661
1.52542 2.0339
1.57627 2.1017
1.62712 2.16949
1.67797 2.23729
1.72881 2.30508
1.77966 2.37288
1.83051 2.44068
1.88136 2.50847
1.9322 2.57627
1.98305 2.64407
2.0339 2.71186
2.08475 2.77966
2.13559 2.84746
2.18644 2.91525
2.23729 2.98305
2.28814 3.05085
2.33898 3.11864
2.38983 3.18644
2.44068 3.25424
2.49153 3.32203
2.54237 3.38983
2.59322 3.45763
2.64407 3.52542
2.69492 3.59322
2.74576 3.66102
2.79661 3.72881
2.84746 3.79661
2.89831 3.86441
2.94915 3.9322
3 4
3 0
0 0
